英文,中文
daemon,妖魔/鬼怪，朋友，协议的伺服机 (计算机)
encapsulation  ,用膜包裹/封装，包含在另一个数据结构
interface,界面，同做两体边界的媒介
token,标记/标志/纪念品/象征，代价券/筹码，象征性的/充场面的
mask,遮蔽物/使模糊，伪装，掩饰，化装
make,"性情; 构造,  做; 建造; 作出; 开始; 增大; 前进"
daily,每日地/日常地，日报
stage,阶段/演出/展现/举行，筹划
instance,情况/例子，实例，要求，建议
comment,评论，注释，意见，说明，解释
alter,改变/变更，改建(房屋)，变老
distinct,明显，清楚的，卓越的/有区别的
forbidden,不允许的，被禁止的，禁用的
spare,节省/俭省，宽恕，剩下的(钱)，空闲的(时间)
general,普遍的/常规，一般原则，综合的/全体的
affinity,密切关系，亲缘性/姻亲，吸引力(男女间)
notify,通知，布告
handler,处理者/管理者，处理机(信息)，拳击教练
branch,分支/部门，科/支流/形成，扩大(兴趣/业务/范围)
entry,进入/入场，门口/登记，记录，参赛的人
content,内容/容量，满足/满意/愿意的，目录
schema,概要，计划，图表
destroy ,杀死，破坏/摧毁/消灭，歼灭(敌人)，使失败
scheduler,调度程序，日程安排程序
notification,通知/通知单，布告，公布
vender,卖主，售卖者
position,位置，方位，地位，职位，态度，状态
location,定位，位置，场所，外景(拍摄地)
repository,容器，宝库，贮藏处/博物馆
origin,起源，起因，由来，出身
merge,使 (合并/同化/融合)
stash,藏起，隐藏起来
concurrency,协力/协助/相助/共同努力，同意，一致
purge,清除，净化/泻药，删多余文件 (计算机)
fourteenth,第14，1/14
season,季节
dentist,牙科医生
worth,相当于___价值的，值得___的，价值，财产（值得做某事：be worth doing sth）
blood,血液，血统，家族
scared,惊恐的，恐惧的
area,面积，区域，地方，领域，范围
autumn,秋天
winter,冬天
lend,把…借给，贷
tourist,旅游者，观光者
uncomfortable,不舒服的，不舒适的，感到不安
scientist,科学家
mile,英里
example,例子，实例，榜样，楷模
aim,目标，瞄准，对准，目的是，力争做到
see,看，观看，参见，会晤，理解，想象
chew,咀嚼，（因为紧张等）咬住，不停的啃
reply,回答，答复，以…作答
achieve,实现，完成，达到，获得
die,死亡，消失，消逝，熄灭，停止运行，渴望
fresh,新的，新到的，新鲜的
top,顶部，上部，首位，最高位，居于__之上，超过
nothing,没东西，没事情，无关紧要的人/事/物
depend,依赖，依靠，信赖，相信，取决于…，视…而定
silent,寂静/沉默/无声的，不出声的
honor,尊敬，敬意，荣誉，光荣
rude,粗鲁/无礼的，粗糙/粗陋的，猛烈的
thief,贼，小偷
boss,老板，上司，领导
junk,废旧物品，破烂/丢弃/废弃
weight,重量，体重，砝码，秤砣，负担，重要性，重大
think,认为，以为，想，思索，想要，打算，思考
activity,行动，活动，活跃，活力
captain,船长，机长，上尉，队长，领队
brave,勇敢的，无畏的
still,依然/还/仍旧，然而/尽管如此，静止的，寂静的/平静
hang,悬挂，吊，徘徊，绞死
happen,发生，碰巧，恰好
sixteen,十六，十六个
newspaper,报纸
heaven,天堂，天国，上帝，神
empty,空的，空闲的，空虚的，倒出
neither,两者都不，也不
sky,天(空)
toward(s),向，朝，面对，接近
third,第3，1/3
thirteenth,第13，1/13
volleyball,排球
pupil,学生（小)，瞳孔
fantastic,极好/级出色的，不实际的，奇异/古怪的
dare,敢，敢做，竟敢
treat,对待/招待/处理，治疗/医疗
us,我们
should,应该，将要，应当，万一，竟然，可能
engineer,工程师，机械师
connect,链接，衔接，联合，关联
hobby,业余爱好，嗜好/兴趣
wear,穿着/戴着，面露，留着，衣物，磨损，穿旧，耐用性
memory,记忆/记忆力，回忆/往事，存储器/内存
dish,盘子/餐具，盛...于盘中，挫败，毁掉
include,包括，包含，计入，包住
race,赛跑，民族/人种，竞争，参赛，剧烈跳动
tonight,今晚，今夜
map,地图/天体图，〈俚〉脸/面孔，绘制图，勘查，规划，比对
refuse,拒绝，回绝，推却，废弃物
step,步/脚步/步骤，手段/步调/级别 ，走/踏/踩
difference,差别，差异;[数]差数，差额;意见分歧;特色 辨别，区分
seventeenth,第17; 1/17 
strategy,策略，战略，战略学
uncle,叔叔，伯父，舅父，姑父，姨父
complain,抱怨/诉苦，申诉，控诉/抗议/控告
green,绿色的，未熟的/青春的，主张保护环境的，绿色蔬菜，植物
bike,自行车，电动车，摩托车
effort,工作/努力，尝试，成就/杰作
grammar,语法，基本原理
pancake,烙饼/薄煎饼/粉饼，平坠/平坠著陆，使平展
essay,散文;随笔，杂记文，尝试/企图/试验
abroad,到国外/在海外，广为流传地，异国
cough,咳嗽，（引擎等）声音，咳出
like,喜欢，想要，喜欢做，如同，好像，像…一样
join,加入/参加，连接/联结/结合，接合点
without,户外/缺少/没有，缺乏/在外面，除非/如果不
nervous,神经质的，紧张不安的，焦虑的
soon,快，立刻/不久/马上，宁愿
only,仅有的，最好的/最适当的，仅仅，不料
poster,招贴画，海报，招贴，公告，张贴者
restaurant,餐馆，饭店，饭馆，菜馆
finish,完成，结束，使筋疲力尽，结尾，最后阶段，抛光
deep,深的，深远的，深奥/重大的，深刻/强烈的/深厚的，深渊
elder,长者，长辈/元老，比…年长的人，资格老的/老练的
photo,照片，相片，(给…)拍照
ached,疼
march,三月
see to,处理，照料
see sb . Off,给某人送行
trust,相信，信赖
